u1,Re,r_exp,r_pred_r(Re) степенной,r_pred_r(Re) асимптотический,r_pred_r(u₁) степенной
4.17,953540.0,0.4327,0.4869103557412871,0.441896016413624,0.4869103557412928
6.25,1429166.6666666667,0.2927,0.30084846146702515,0.29246840654123973,0.30084846146702776
8.33,1904793.3333333335,0.2417,0.213747808820351,0.21818819565793884,0.2137478088203524
10.42,2382706.6666666665,0.2068,0.16376666354028005,0.1736496364660275,0.16376666354028083
12.5,2858333.3333333335,0.1382,0.13188047643017412,0.14423103020154052,0.13188047643017456
14.58,3333960.0,0.0961,0.10981077065347215,0.12327669489821523,0.10981077065347239
16.67,3811873.333333334,0.0827,0.09363200368283502,0.10753385344858994,0.09363200368283514
