Модель,Калибровка R²,Валидация RMSE,Валидация R²,Физ. адекватность,Комментарий
"Δζ(Re), вар. A",0.8580787987429541,0.1817811258941473,-3.2348751297711953,Да,"Базовая, провалена"
"Δζ(Re), вар. B",0.9876838872543727,0.20275713969383147,-4.268601402914367,Да,Переобучена
r(Re) степенной,0.9347392606136928,0.06278361884929579,0.4948321295480985,Да,
r(Re) асимптотический,0.9658961787291789,0.05145691234252972,0.6606635773597325,Да,
r(u₁) степенной,0.9347392606136872,0.10871157625471545,-0.5145883669719413,Да,
