Re,dz_exp,dz_fit_A,dz_fit_B,r_exp,r_fit_A,r_fit_B
953540.0,0.007752960000000003,0.01071551211007352,0.008484264038697342,0.4327,0.4069834018222785,0.4263518746640856
1429166.6666666667,0.023880959999999996,0.017509841196354934,0.02162437830961482,0.2927,0.34800485072608567,0.312288382729038
1904793.3333333335,0.029756159999999997,0.024813460714741182,0.030167990898483543,0.2417,0.2846053757400939,0.2381250790062192
2382706.6666666665,0.033776640000000004,0.032558868776308966,0.03640752711953342,0.2068,0.2173709307612069,0.18396243819849462
2858333.3333333335,0.04167936,0.04060587937169126,0.04122579519410659,0.1382,0.1475184082318467,0.14213719449560253
3333960.0,0.04652928,0.048945175223673795,0.04513079448115302,0.0961,0.07512868729449829,0.10823963123999114
3811873.333333334,0.04807296,0.057585123074706784,0.04840757397899656,0.0827,0.00012913997650360054,0.07979536476565485
